Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
22-02-24,De Heurne,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3155m,Nee,, € -   
21-02-24,Grolloo,Drenthe,Scha(a)p(en),2,,,,2,wolf,GW3874m,Nee,, € -   
21-02-24,t Harde,Gelderland,Scha(a)p(en),1,,,1,2,vermoedelijk wolf,onbekend,Nee,, € -   
21-02-24,Vinkega,Fryslân,Scha(a)p(en),2,,,,2,wolf,GW3815f,Nee,, € -   
21-02-24,Vaassen,Gelderland,Scha(a)p(en),1,,,1,2,wolf,GW4077f,Nee,, € -   
21-02-24,Doornspijk,Gelderland,Scha(a)p(en),1,,1,,1,wolf,GW3694f,Ja,, € -   
21-02-24,Emst,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW4077f,Nee,, € -   
21-02-24,Nijkerk,Gelderland,Scha(a)p(en),3,1,1,,3,wolf,onbekend,Nee,, € -   
21-02-24,Elburg,Gelderland,Scha(a)p(en),3,3,,,3,wolf,GW3694f,Nee,, € -   
21-02-24,Haulerwijk,Fryslân,Scha(a)p(en),1,5,,,1,wolf,GW3812m,Nee,, € -   
21-02-24,Elspeet,Gelderland,Scha(a)p(en),2,1,,7,9,wolf,GW4004f,"Ja, maar",niet overal hoogste draad op 120 centimeter, € -   
21-02-24,Nijkerk,Gelderland,Scha(a)p(en),1,,,1,2,wolf,GW3425m?,Nee,, € -   
20-02-24,Steggerda,Fryslân,Scha(a)p(en),1,,,,1,wolf,GW3815f,Nee,, € -   
20-02-24,Fochteloo,Fryslân,Scha(a)p(en),1,,,3,4,wolf,onbekend,Nee,, € -   
18-02-24,Uddel,Gelderland,Scha(a)p(en),2,,,1,3,wolf,onbekend,Nee,, € -   
18-02-24,Nunspeet,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
18-02-24,Doornspijk,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
17-02-24,Oldeberkoop,Fryslân,Scha(a)p(en),11,,,,11,wolf,GW4009m; gemixt profiel,Nee,, € -   
17-02-24,Elst,Gelderland,Scha(a)p(en),3,1,,,3,wolf,GW2398m,Nee,, € -   
17-02-24,Nijkerk,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3425m,Nee,, € -   
16-02-24,Elst,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW2398m,Nee,, € -   
16-02-24,Vorchten,Gelderland,Geit(en),1,,,,1,wolf,GW3694f,Nee,, € -   
16-02-24,Oudehorne,Fryslân,Scha(a)p(en),2,,2,,2,wolf,GW2090f; GW4009m,Nee,, € -   
16-02-24,Westdorp,Drenthe,Scha(a)p(en),4,1,14,,4,wolf,GW3874m,Nee,, € -   
16-02-24,Otterlo,Gelderland,Scha(a)p(en),7,3,,,7,wolf,GW2435m; GW3012f,Nee,, € -   
16-02-24,Oudehorne,Fryslân,Scha(a)p(en),6,2,,,6,wolf,GW2090f; GW2397m?; GW4009m; gemixt profiel,Nee,, € -   
15-02-24,Fochteloo,Fryslân,Scha(a)p(en),5,4,,,5,wolf,onbekend,Nee,, € -   
14-02-24,Nijkerk,Gelderland,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
14-02-24,Appelscha,Fryslân,Scha(a)p(en),1,,,,1,wolf,GW3882m,Ja,, € -   
13-02-24,Stroe,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3155m?,Nee,, € -   
13-02-24,Lunteren,Gelderland,Scha(a)p(en),1,1,,,1,wolf,GW3155m,Nee,, € -   
13-02-24,Appelscha,Fryslân,Scha(a)p(en),2,,,4,6,wolf,GW3812m,Nee,, € -   
13-02-24,Garderen,Gelderland,Scha(a)p(en),,,,3,3,wolf,GW4004f,Nee,, € -   
12-02-24,Doornspijk,Gelderland,Scha(a)p(en),2,1,,,2,wolf,onbekend,Nee,, € -   
12-02-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3155m,Nee,, € -   
12-02-24,Putten,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW3425m,Nee,, € -   
12-02-24,Garderen,Gelderland,Scha(a)p(en),2,,,,2,wolf,GW4004f?,Nee,, € -   
12-02-24,Harskamp,Gelderland,Scha(a)p(en),,2,,,0,wolf,onbekend,Nee,, € -   
12-02-24,Elburg,Gelderland,Scha(a)p(en),6,,,,6,wolf,onbekend,Nee,, € -   
12-02-24,Wekerom,Gelderland,Scha(a)p(en),1,1,,,1,wolf,onbekend,Nee,, € -   
