Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
08-11-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
08-11-22;Westerveld;Drenthe;Wolvenkeutel;C1,
07-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
07-11-22;Heerde;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-11-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-11-22;Westerveld;Drenthe;Wolf gezien;C1,
03-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-11-22;Heerde;Gelderland;Wolf gezien;C1,
02-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-11-22;Heerde;Gelderland;Wolf gezien;C1,
01-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-11-22;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
31-10-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-10-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
